id,regionName,cityID
327,卑南鄉,18
328,鹿野鄉,18
329,關山鎮,18
330,海端鄉,18
331,池上鄉,18
332,東河鄉,18
333,成功鎮,18
334,長濱鄉,18
335,太麻里鄉,18
336,金峰鄉,18
337,大武鄉,18
338,達仁鄉,18
339,花蓮市,19
340,新城鄉,19
341,秀林鄉,19
342,吉安鄉,19
343,壽豐鄉,19
344,鳳林鎮,19
345,光復鄉,19
346,豐濱鄉,19
347,瑞穗鄉,19
348,萬榮鄉,19
349,玉里鎮,19
350,卓溪鄉,19
351,富里鄉,19
352,馬公市,20
353,西嶼鄉,20
354,望安鄉,20
355,七美鄉,20
356,白沙鄉,20
357,湖西鄉,20
358,金沙鎮,21
359,金湖鎮,21
360,金寧鄉,21
361,金城鎮,21
362,烈嶼鄉,21
363,烏坵鄉,21
364,南竿鄉,22
365,北竿鄉,22
366,莒光鄉,22
367,東引鄉,22
368,東沙,22
369,南沙,22
